query_id,answer
1,4308 4396 4234 4283 4387 4328 4273 2511 2665 1899
2,2646 4400 4234 4403 4010 1966 2865 4361 4387 1923
3,4234 4396 1909 4308 4219 4328 4286 4400 1907 2698
4,4219 4400 4234 2646 4361 2865 4403 1951 4384 4532
5,1951 3467 4214 4219 4234 2698 4328 4321 4320 4308
6,4309 3750 4523 2214 4377 2928 3016 2037 4433 4324
7,4234 2865 4219 4384 2646 4403 1966 4361 4400 4308
8,1951 4234 4214 3467 4328 4308 4286 2698 2646 4219
9,4451 4214 2698 4445 4209 4227 4290 4219 3995 4447
10,4219 2646 4403 4400 4234 4252 4221 4223 4387 1966
11,4219 2865 2646 1966 4384 4400 2866 4308 4440 4234
12,4219 2646 4387 4400 2865 1966 4361 4234 4440 4308
13,4219 2865 2646 4384 1966 4440 4389 4387 4257 4400
14,2962 4385 4227 4219 4291 4290 4276 4371 2222 4321
15,4219 4384 4361 3169 3470 4234 2646 4406 4313 2943
16,4440 4219 2646 4389 4387 4285 4361 4257 2865 4234
17,1951 4234 4328 4308 4396 2646 4286 4387 4361 3419
18,4219 2646 4387 4234 4308 4214 4400 1909 3467 4361
19,1951 4234 4308 4219 3467 4214 4320 4328 2646 4361
20,2865 4219 2646 4384 4387 1966 4400 4234 4308 4403
21,4219 4214 2646 2698 1951 2665 4395 4361 4234 4389
22,4445 4433 3862 4234 4242 3909 2148 2208 4341 4237
23,4328 4286 4396 4234 1907 4308 3436 4460 4362 4204
24,4440 4219 2646 4389 4384 4387 4361 2865 4257 4308
25,4214 2698 4219 2665 1951 4451 4361 4234 4395 4308
26,4389 4219 4440 2646 4361 4257 4234 2865 4313 4384
27,4219 2646 4387 4384 1966 4440 2865 4389 4395 4400
28,4400 4234 4387 4384 2646 4219 2962 4403 4308 4407
29,4219 2646 2865 4384 1966 4400 4234 4361 3844 4406
30,1951 4234 4219 4214 2646 3467 4320 4321 4361 4286
31,4234 4219 1909 4308 4403 4361 4400 2646 4286 4328
32,4384 4389 4440 4277 4397 4265 2962 4218 4391 4294
33,2646 4219 4440 4384 1966 2865 4387 4389 4400 4361
34,4219 2646 2865 4384 1966 4361 4400 4234 4387 3844
35,4328 4396 4286 1907 4234 3436 1909 4308 4403 4400
36,4387 4219 2646 4384 2865 1966 4234 4504 4285 4257
37,1966 4219 4387 2646 2865 4400 4403 4234 4408 4361
38,4219 2646 4384 4440 1966 3470 2865 4400 4387 3078
39,1951 4234 3467 4328 4214 4219 4218 4286 2665 4361
40,4219 2646 4361 4233 4384 4313 4234 4308 3077 1909
41,4362 2646 4214 4219 2698 4234 4361 3467 2154 4387
42,4387 2646 4384 1966 4219 4400 4234 2865 4214 4308
43,4308 4234 4396 4328 4219 4362 4361 1899 1901 4400
44,4219 2865 2646 1966 4384 4400 4395 4361 3567 3844
45,4219 2865 2646 4384 1966 4400 4234 4361 4403 4387
46,2665 4214 2698 4219 4234 4308 4361 4328 2646 1951
47,4219 2646 4234 3077 4384 4308 3169 4313 4406 1951
48,4219 2646 4384 4387 1966 2865 4440 3470 4395 4504
49,1960 4219 4234 4408 2646 4308 4214 4328 4403 4400
50,1951 3467 4328 4234 4214 4286 2665 4218 4308 4396
51,4395 4219 4214 2646 4389 4424 4440 4387 4235 4384
52,4214 4219 4395 2646 2698 4424 4234 3467 4328 4361
53,4219 2646 4361 4234 2511 4358 4389 4387 4408 4440
54,4395 4424 4214 4361 4332 2698 3992 4521 4329 4334
55,1951 3467 4214 4234 4286 4219 4308 4328 4532 2646
56,4234 4403 2408 4308 4400 4219 4407 4387 4361 4328
57,2324 3746 2904 4414 2215 3054 2890 4258 4399 4364
58,2646 4219 4384 4361 3077 3127 4308 4440 4234 4285
59,2865 4219 2646 1966 4384 4400 4361 4234 3844 4308
60,4219 2646 4384 4400 1966 4387 2865 4403 4361 4440
61,2646 4219 4389 4384 4440 4396 4361 4308 4214 4313
62,4219 4384 2865 4400 2646 4387 1966 4234 4504 4286
63,4400 4219 4387 4234 4384 4403 4367 2831 4361 4408
64,4328 1909 4234 1907 4308 4286 4334 4396 4219 4400
65,4008 4371 2663 2217 4307 4287 4388 4372 2948 4420
66,4291 4307 3779 4134 3993 4321 4440 4276 4373 4269
67,4219 4384 2646 4361 3470 4440 4274 4313 3077 4233
68,4307 2222 4388 4420 4287 2661 4008 2968 4440 4348
69,2646 4219 2865 1966 4384 4400 4234 4395 4361 4403
70,4328 4286 4396 4234 1951 1907 3467 1909 4214 4308
71,4219 2646 4234 3467 1951 4384 4214 4308 4328 2665
72,4234 4214 2698 3467 4219 4362 4308 1951 4384 4286
73,4440 2171 4389 2220 3993 2968 2894 2886 4371 4276
74,4219 2865 2646 1966 4400 4384 4234 4403 4395 4361
75,2646 4219 4234 4361 4384 1951 3077 1966 4010 2943
76,4328 4234 4396 4286 4219 4308 1901 4214 4362 4435
77,4219 4328 4396 4308 1909 4362 4400 4234 4387 3088
78,4328 4234 1909 4433 4308 4396 4214 4045 4435 4286
79,4219 2865 2646 1966 4384 4400 4361 4234 3844 4387
80,4320 3861 4219 2232 4451 2902 4361 4384 4234 4436
81,4219 2646 4384 4234 2865 4400 1966 4361 4403 4395
82,4400 4308 4234 4387 4219 4403 4214 2964 4408 1909
83,1951 4234 4361 4396 4400 4328 3467 4286 4214 4308
84,4400 4234 4219 4367 4384 4387 2646 4308 4403 1966
85,4219 2962 2646 4227 4400 4214 4395 4290 4361 4403
86,1951 4234 3467 4214 4286 4361 4328 4219 4320 4400
87,2646 4361 4234 4219 4384 2865 1966 1951 4010 2866
88,1951 4234 4328 3467 4286 4214 4308 4219 4400 4361
89,1951 4234 3467 4328 4286 4214 4219 4308 4320 4396
90,4219 2865 2646 1966 4384 4400 4395 3470 3078 2696
91,4234 4308 4387 4214 4396 4361 3088 2943 2511 1901
92,4214 4234 1951 4219 4328 4362 2665 3467 2698 4361
93,4387 4219 2646 4400 4384 4234 4285 4504 4308 2865
94,3147 2062 4411 4110 3260 4419 2057 3261 2060 4404
95,1951 4328 4234 3467 4286 4396 4214 4219 1907 4308
96,2646 4219 4400 4387 1958 4234 4403 1966 4361 2865
97,4403 4400 4219 4407 4234 2646 4387 2408 1966 4361
98,1951 3467 4214 4234 4328 4219 4286 4308 4321 2665
99,1958 4384 4387 4400 2646 4219 4234 4440 1966 4361
100,4328 4286 1951 4396 3467 4234 4214 3436 1907 4219
101,4219 2646 4384 4400 1966 2865 4361 4440 4403 4234
102,4451 4214 2698 4431 3150 2213 3774 4383 4209 4227
103,4219 2646 4384 4389 4361 4234 4440 4308 2943 3127
104,2646 4219 4440 4384 2865 1966 4361 4400 4389 4387
105,2646 4219 4384 3077 4440 4313 3078 4308 4389 4361
106,4219 2646 4234 4361 2865 4440 4384 4308 4400 4408
107,1909 4234 4396 4328 4286 4308 4219 1907 3419 1918
108,4219 2646 4234 1951 4361 4214 3127 2698 4440 4389
109,2646 4234 4361 4219 4384 1966 2865 4214 3077 1951
110,4219 2646 4328 4234 4308 4361 3127 1909 3564 4396
111,4219 2646 4233 4361 4308 4384 4234 4257 3127 1909
