query_id,fold,variant,query_text,original_text,ground_truth
3,0,original,Здравствуйте. Как отправить товар через Авито.,Здравствуйте. Как отправить товар через Авито.,1909
3,0,case_punct,!!! зДРАВСТВУЙТЕ. кАК ОТПРАВИТЬ ТОВАР ЧЕРЕЗ аВИТО. ???,Здравствуйте. Как отправить товар через Авито.,1909
3,0,typo_delete,Здравствуйте. Как отправиь товар через Авито.,Здравствуйте. Как отправить товар через Авито.,1909
3,0,typo_swap,Здравствуйте. Как отпарвить товар через Авито.,Здравствуйте. Как отправить товар через Авито.,1909
3,0,typo_keyboard,Здравствуйте. Как отправиьь товар через Авито.,Здравствуйте. Как отправить товар через Авито.,1909
3,0,typo_two,Здравствуйте. Как отпавиьь товар через Авито.,Здравствуйте. Как отправить товар через Авито.,1909
3,0,drop_content,Здравствуйте. Как товар через Авито.,Здравствуйте. Как отправить товар через Авито.,1909
3,0,polite_noise,"Здравствуйте! Подскажите, пожалуйста, очень срочно: Здравствуйте. Как отправить товар через Авито.",Здравствуйте. Как отправить товар через Авито.,1909
3,0,topic_distractor,"Здравствуйте. Как отправить товар через Авито. Также не понимаю, почему не работает Авито Доставка и когда вернут деньги.",Здравствуйте. Как отправить товар через Авито.,1909
3,0,mask_entities,Здравствуйте. Как отправить товар через Авито.,Здравствуйте. Как отправить товар через Авито.,1909
18,0,original,"Здравствуйте, почему сумма доставки меняется при оформлении?","Здравствуйте, почему сумма доставки меняется при оформлении?",1951
18,0,case_punct,"!!! зДРАВСТВУЙТЕ, ПОЧЕМУ СУММА ДОСТАВКИ МЕНЯЕТСЯ ПРИ ОФОРМЛЕНИИ? ???","Здравствуйте, почему сумма доставки меняется при оформлении?",1951
18,0,typo_delete,"Здравствуйте, почему сумма доставки меняетя при оформлении?","Здравствуйте, почему сумма доставки меняется при оформлении?",1951
18,0,typo_swap,"Здравствуйте, почему сумам доставки меняется при оформлении?","Здравствуйте, почему сумма доставки меняется при оформлении?",1951
18,0,typo_keyboard,"Здравствуйте, почему сумма достааки меняется при оформлении?","Здравствуйте, почему сумма доставки меняется при оформлении?",1951
18,0,typo_two,"Здравствуйте, почему сумма дставки меняется при оыормлении?","Здравствуйте, почему сумма доставки меняется при оформлении?",1951
18,0,drop_content,"Здравствуйте, почему сумма доставки при оформлении?","Здравствуйте, почему сумма доставки меняется при оформлении?",1951
18,0,polite_noise,"Здравствуйте! Подскажите, пожалуйста, очень срочно: Здравствуйте, почему сумма доставки меняется при оформлении?","Здравствуйте, почему сумма доставки меняется при оформлении?",1951
18,0,topic_distractor,"Здравствуйте, почему сумма доставки меняется при оформлении? Также не понимаю, почему не работает Авито Доставка и когда вернут деньги.","Здравствуйте, почему сумма доставки меняется при оформлении?",1951
18,0,mask_entities,"Здравствуйте, почему сумма доставки меняется при оформлении?","Здравствуйте, почему сумма доставки меняется при оформлении?",1951
46,0,original,"Добрый день. Скажите клиент делает заказ с доставкой, мы оплачиваем доставку или клиент?","Добрый день. Скажите клиент делает заказ с доставкой, мы оплачиваем доставку или клиент?",1951 4234
46,0,case_punct,"!!! дОБРЫЙ ДЕНЬ. сКАЖИТЕ КЛИЕНТ ДЕЛАЕТ ЗАКАЗ С ДОСТАВКОЙ, МЫ ОПЛАЧИВАЕМ ДОСТАВКУ ИЛИ КЛИЕНТ? ???","Добрый день. Скажите клиент делает заказ с доставкой, мы оплачиваем доставку или клиент?",1951 4234
46,0,typo_delete,"Добрый день. Скажите клиент длает заказ с доставкой, мы оплачиваем доставку или клиент?","Добрый день. Скажите клиент делает заказ с доставкой, мы оплачиваем доставку или клиент?",1951 4234
46,0,typo_swap,"Добрый день. Скажите клинет делает заказ с доставкой, мы оплачиваем доставку или клиент?","Добрый день. Скажите клиент делает заказ с доставкой, мы оплачиваем доставку или клиент?",1951 4234
46,0,typo_keyboard,"Добрый день. Скажите клиент делает заказ с досьавкой, мы оплачиваем доставку или клиент?","Добрый день. Скажите клиент делает заказ с доставкой, мы оплачиваем доставку или клиент?",1951 4234
46,0,typo_two,"Добрый день. Скажите клиент делает заказ с достаакой, мы оплачиваем досавку или клиент?","Добрый день. Скажите клиент делает заказ с доставкой, мы оплачиваем доставку или клиент?",1951 4234
46,0,drop_content,"Добрый день. Скажите клиент делает заказ с доставкой, мы доставку или клиент?","Добрый день. Скажите клиент делает заказ с доставкой, мы оплачиваем доставку или клиент?",1951 4234
46,0,polite_noise,"Здравствуйте! Подскажите, пожалуйста, очень срочно: Добрый день. Скажите клиент делает заказ с доставкой, мы оплачиваем доставку или клиент?","Добрый день. Скажите клиент делает заказ с доставкой, мы оплачиваем доставку или клиент?",1951 4234
46,0,topic_distractor,"Добрый день. Скажите клиент делает заказ с доставкой, мы оплачиваем доставку или клиент? Также не понимаю, почему не работает Авито Доставка и когда вернут деньги.","Добрый день. Скажите клиент делает заказ с доставкой, мы оплачиваем доставку или клиент?",1951 4234
46,0,mask_entities,"Добрый день. Скажите клиент делает заказ с доставкой, мы оплачиваем доставку или клиент?","Добрый день. Скажите клиент делает заказ с доставкой, мы оплачиваем доставку или клиент?",1951 4234
53,0,original,"Если отменить заказанный товар , вернутся ли деньги на карту","Если отменить заказанный товар , вернутся ли деньги на карту",4219 4387
53,0,case_punct,"!!! еСЛИ ОТМЕНИТЬ ЗАКАЗАННЫЙ ТОВАР , ВЕРНУТСЯ ЛИ ДЕНЬГИ НА КАРТУ ???","Если отменить заказанный товар , вернутся ли деньги на карту",4219 4387
53,0,typo_delete,"Если отменить закаанный товар , вернутся ли деньги на карту","Если отменить заказанный товар , вернутся ли деньги на карту",4219 4387
53,0,typo_swap,"Если отменить заказанынй товар , вернутся ли деньги на карту","Если отменить заказанный товар , вернутся ли деньги на карту",4219 4387
53,0,typo_keyboard,"Если отменить заказанный товар , вернуься ли деньги на карту","Если отменить заказанный товар , вернутся ли деньги на карту",4219 4387
53,0,typo_two,"Если отменить заказнный товар , вернктся ли деньги на карту","Если отменить заказанный товар , вернутся ли деньги на карту",4219 4387
53,0,drop_content,"Если отменить заказанный товар , вернутся ли деньги на","Если отменить заказанный товар , вернутся ли деньги на карту",4219 4387
53,0,polite_noise,"Здравствуйте! Подскажите, пожалуйста, очень срочно: Если отменить заказанный товар , вернутся ли деньги на карту","Если отменить заказанный товар , вернутся ли деньги на карту",4219 4387
53,0,topic_distractor,"Если отменить заказанный товар , вернутся ли деньги на карту Также не понимаю, почему не работает Авито Доставка и когда вернут деньги.","Если отменить заказанный товар , вернутся ли деньги на карту",4219 4387
53,0,mask_entities,"Если отменить заказанный товар , вернутся ли деньги на карту","Если отменить заказанный товар , вернутся ли деньги на карту",4219 4387
54,0,original,"Здравствуйте,оплатила объявление","Здравствуйте,оплатила объявление",4440
54,0,case_punct,"!!! зДРАВСТВУЙТЕ,ОПЛАТИЛА ОБЪЯВЛЕНИЕ ???","Здравствуйте,оплатила объявление",4440
54,0,typo_delete,"Здравствуйте,оплатила объявлние","Здравствуйте,оплатила объявление",4440
54,0,typo_swap,"Здравствуйте,оплтаила объявление","Здравствуйте,оплатила объявление",4440
54,0,typo_keyboard,"Здравствуйте,оплатила объявленте","Здравствуйте,оплатила объявление",4440
54,0,typo_two,"Здравствуйте,оплатида обявление","Здравствуйте,оплатила объявление",4440
54,0,drop_content,"Здравствуйте,оплатила","Здравствуйте,оплатила объявление",4440
54,0,polite_noise,"Здравствуйте! Подскажите, пожалуйста, очень срочно: Здравствуйте,оплатила объявление","Здравствуйте,оплатила объявление",4440
54,0,topic_distractor,"Здравствуйте,оплатила объявление Также не понимаю, почему не работает Авито Доставка и когда вернут деньги.","Здравствуйте,оплатила объявление",4440
54,0,mask_entities,"Здравствуйте,оплатила объявление","Здравствуйте,оплатила объявление",4440
65,0,original,Подскажите как оформить отправку повара через авито доставку?,Подскажите как оформить отправку повара через авито доставку?,4234
65,0,case_punct,!!! пОДСКАЖИТЕ КАК ОФОРМИТЬ ОТПРАВКУ ПОВАРА ЧЕРЕЗ АВИТО ДОСТАВКУ? ???,Подскажите как оформить отправку повара через авито доставку?,4234
65,0,typo_delete,Подскажите как оформить отпрвку повара через авито доставку?,Подскажите как оформить отправку повара через авито доставку?,4234
65,0,typo_swap,Подскажите как оформить отправку повара через авито достваку?,Подскажите как оформить отправку повара через авито доставку?,4234
65,0,typo_keyboard,Подскажите как оформиьь отправку повара через авито доставку?,Подскажите как оформить отправку повара через авито доставку?,4234
65,0,typo_two,Подскажите как оформить отпрпвку повара через авито дотавку?,Подскажите как оформить отправку повара через авито доставку?,4234
65,0,drop_content,Подскажите как оформить повара через авито доставку?,Подскажите как оформить отправку повара через авито доставку?,4234
65,0,polite_noise,"Здравствуйте! Подскажите, пожалуйста, очень срочно: Подскажите как оформить отправку повара через авито доставку?",Подскажите как оформить отправку повара через авито доставку?,4234
65,0,topic_distractor,"Подскажите как оформить отправку повара через авито доставку? Также не понимаю, почему не работает Авито Доставка и когда вернут деньги.",Подскажите как оформить отправку повара через авито доставку?,4234
65,0,mask_entities,Подскажите как оформить отправку повара через авито доставку?,Подскажите как оформить отправку повара через авито доставку?,4234
72,0,original,Почему я не могу использовать накопленные бонусы для оплаты доставки?,Почему я не могу использовать накопленные бонусы для оплаты доставки?,4219
72,0,case_punct,!!! пОЧЕМУ Я НЕ МОГУ ИСПОЛЬЗОВАТЬ НАКОПЛЕННЫЕ БОНУСЫ ДЛЯ ОПЛАТЫ ДОСТАВКИ? ???,Почему я не могу использовать накопленные бонусы для оплаты доставки?,4219
72,0,typo_delete,Почему я не могу использовать накопленные бонсы для оплаты доставки?,Почему я не могу использовать накопленные бонусы для оплаты доставки?,4219
72,0,typo_swap,Почему я не могу использовать накопленные бонусы для опалты доставки?,Почему я не могу использовать накопленные бонусы для оплаты доставки?,4219
72,0,typo_keyboard,Почему я не могу исподьзовать накопленные бонусы для оплаты доставки?,Почему я не могу использовать накопленные бонусы для оплаты доставки?,4219
72,0,typo_two,Почему я не могу использовать нпкопленные бонусы для олаты доставки?,Почему я не могу использовать накопленные бонусы для оплаты доставки?,4219
72,0,drop_content,Почему я не могу использовать накопленные бонусы для доставки?,Почему я не могу использовать накопленные бонусы для оплаты доставки?,4219
72,0,polite_noise,"Здравствуйте! Подскажите, пожалуйста, очень срочно: Почему я не могу использовать накопленные бонусы для оплаты доставки?",Почему я не могу использовать накопленные бонусы для оплаты доставки?,4219
72,0,topic_distractor,"Почему я не могу использовать накопленные бонусы для оплаты доставки? Также не понимаю, почему не работает Авито Доставка и когда вернут деньги.",Почему я не могу использовать накопленные бонусы для оплаты доставки?,4219
72,0,mask_entities,Почему я не могу использовать накопленные бонусы для оплаты доставки?,Почему я не могу использовать накопленные бонусы для оплаты доставки?,4219
73,0,original,"У меня в авто теки висит ограничения на регистрацию , на автомобиль хендай салярис гос номер <ID>","У меня в авто теки висит ограничения на регистрацию , на автомобиль хендай салярис гос номер <ID>",4318
73,0,case_punct,"!!! у МЕНЯ В АВТО ТЕКИ ВИСИТ ОГРАНИЧЕНИЯ НА РЕГИСТРАЦИЮ , НА АВТОМОБИЛЬ ХЕНДАЙ САЛЯРИС ГОС НОМЕР <id> ???","У меня в авто теки висит ограничения на регистрацию , на автомобиль хендай салярис гос номер <ID>",4318
73,0,typo_delete,"У меня в авто теки висит ограничения на регистрацию , на автомобиль хедай салярис гос номер <ID>","У меня в авто теки висит ограничения на регистрацию , на автомобиль хендай салярис гос номер <ID>",4318
73,0,typo_swap,"У меня в авто теки висит ограничения на регистрацию , на автомобиль хнедай салярис гос номер <ID>","У меня в авто теки висит ограничения на регистрацию , на автомобиль хендай салярис гос номер <ID>",4318
73,0,typo_keyboard,"У меня в авто теки висит ограничения на регистрацию , на автомобидь хендай салярис гос номер <ID>","У меня в авто теки висит ограничения на регистрацию , на автомобиль хендай салярис гос номер <ID>",4318
73,0,typo_two,"У меня в авто теки висит огоаничения на регистрацию , на автомобиль хендай салрис гос номер <ID>","У меня в авто теки висит ограничения на регистрацию , на автомобиль хендай салярис гос номер <ID>",4318
73,0,drop_content,"У меня в авто теки висит ограничения на регистрацию , на хендай салярис гос номер <ID>","У меня в авто теки висит ограничения на регистрацию , на автомобиль хендай салярис гос номер <ID>",4318
73,0,polite_noise,"Здравствуйте! Подскажите, пожалуйста, очень срочно: У меня в авто теки висит ограничения на регистрацию , на автомобиль хендай салярис гос номер <ID>","У меня в авто теки висит ограничения на регистрацию , на автомобиль хендай салярис гос номер <ID>",4318
73,0,topic_distractor,"У меня в авто теки висит ограничения на регистрацию , на автомобиль хендай салярис гос номер <ID> Также не понимаю, почему не работает Авито Доставка и когда вернут деньги.","У меня в авто теки висит ограничения на регистрацию , на автомобиль хендай салярис гос номер <ID>",4318
73,0,mask_entities,"У меня в авто теки висит ограничения на регистрацию , на автомобиль хендай салярис гос номер <ENTITY>","У меня в авто теки висит ограничения на регистрацию , на автомобиль хендай салярис гос номер <ID>",4318
79,0,original,"Просят доставку 3 листов оргалита 1,2*2, 7 м в Башкирию. Возможен ли такой вариант и кто оплачивает доставку?","Просят доставку 3 листов оргалита 1,2*2, 7 м в Башкирию. Возможен ли такой вариант и кто оплачивает доставку?",1951 4286
